rank,ticker,series_ticker,classification,title,time_to_close_hours,yes_bid,yes_ask,yes_spread,softness_score,model_route,source_route,official_settlement_source,proxy_source_policy
28,KXHIGHTMIN-26JUL01-B84.5,KXHIGHTMIN,weather,"Will the maximum temperature be 84-85° on Jul 1, 2026?",0.8564,0.99,1.0,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
29,KXHIGHTMIN-26JUL01-B86.5,KXHIGHTMIN,weather,"Will the maximum temperature be 86-87° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
30,KXHIGHTMIN-26JUL01-B88.5,KXHIGHTMIN,weather,"Will the maximum temperature be 88-89° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
31,KXHIGHTMIN-26JUL01-B90.5,KXHIGHTMIN,weather,"Will the maximum temperature be 90-91° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
32,KXHIGHTMIN-26JUL01-T84,KXHIGHTMIN,weather,"Will the maximum temperature be <84° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
33,KXHIGHTMIN-26JUL01-T91,KXHIGHTMIN,weather,"Will the maximum temperature be >91° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
34,KXHIGHTNOLA-26JUL01-B90.5,KXHIGHTNOLA,weather,"Will the maximum temperature be 90-91° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
35,KXHIGHTNOLA-26JUL01-B92.5,KXHIGHTNOLA,weather,"Will the maximum temperature be 92-93° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
36,KXHIGHTNOLA-26JUL01-B94.5,KXHIGHTNOLA,weather,"Will the maximum temperature be 94-95° on Jul 1, 2026?",0.8564,0.99,1.0,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
37,KXHIGHTNOLA-26JUL01-B96.5,KXHIGHTNOLA,weather,"Will the maximum temperature be 96-97° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
38,KXHIGHTNOLA-26JUL01-T90,KXHIGHTNOLA,weather,"Will the maximum temperature be <90° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
39,KXHIGHTNOLA-26JUL01-T97,KXHIGHTNOLA,weather,"Will the maximum temperature be >97° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
40,KXHIGHTOKC-26JUL01-B100.5,KXHIGHTOKC,weather,"Will the maximum temperature be 100-101° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
41,KXHIGHTOKC-26JUL01-B94.5,KXHIGHTOKC,weather,"Will the maximum temperature be 94-95° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
42,KXHIGHTOKC-26JUL01-B96.5,KXHIGHTOKC,weather,"Will the maximum temperature be 96-97° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
43,KXHIGHTOKC-26JUL01-B98.5,KXHIGHTOKC,weather,"Will the maximum temperature be 98-99° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
44,KXHIGHTOKC-26JUL01-T101,KXHIGHTOKC,weather,"Will the maximum temperature be >101° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
45,KXHIGHTOKC-26JUL01-T94,KXHIGHTOKC,weather,"Will the maximum temperature be <94° on Jul 1, 2026?",0.8564,0.99,1.0,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
46,KXHIGHTSATX-26JUL01-B92.5,KXHIGHTSATX,weather,"Will the maximum temperature be 92-93° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
47,KXHIGHTSATX-26JUL01-B94.5,KXHIGHTSATX,weather,"Will the maximum temperature be 94-95° on Jul 1, 2026?",0.8564,0.99,1.0,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
48,KXHIGHTSATX-26JUL01-B96.5,KXHIGHTSATX,weather,"Will the maximum temperature be 96-97° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
49,KXHIGHTSATX-26JUL01-B98.5,KXHIGHTSATX,weather,"Will the maximum temperature be 98-99° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
50,KXHIGHTSATX-26JUL01-T92,KXHIGHTSATX,weather,"Will the maximum temperature be <92° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
51,KXHIGHTSATX-26JUL01-T99,KXHIGHTSATX,weather,"Will the maximum temperature be >99° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
52,KXLOWTAUS-26JUL01-B71.5,KXLOWTAUS,weather,"Will the minimum temperature be 71-72° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
53,KXLOWTAUS-26JUL01-B73.5,KXLOWTAUS,weather,"Will the minimum temperature be 73-74° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
54,KXLOWTAUS-26JUL01-B75.5,KXLOWTAUS,weather,"Will the minimum temperature be 75-76° on Jul 1, 2026?",0.8564,0.0,0.04,0.04,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
55,KXLOWTAUS-26JUL01-B77.5,KXLOWTAUS,weather,"Will the minimum temperature be 77-78° on Jul 1, 2026?",0.8564,0.99,1.0,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
56,KXLOWTAUS-26JUL01-T71,KXLOWTAUS,weather,"Will the minimum temperature be <71° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
57,KXLOWTAUS-26JUL01-T78,KXLOWTAUS,weather,"Will the minimum temperature be >78° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
58,KXLOWTCHI-26JUL01-B73.5,KXLOWTCHI,weather,"Will the minimum temperature be 73-74° on Jul 1, 2026?",0.8564,0.0,0.02,0.02,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
59,KXLOWTCHI-26JUL01-B75.5,KXLOWTCHI,weather,"Will the minimum temperature be 75-76° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
60,KXLOWTCHI-26JUL01-B77.5,KXLOWTCHI,weather,"Will the minimum temperature be 77-78° on Jul 1, 2026?",0.8564,0.99,1.0,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
61,KXLOWTCHI-26JUL01-B79.5,KXLOWTCHI,weather,"Will the minimum temperature be 79-80° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
62,KXLOWTCHI-26JUL01-T73,KXLOWTCHI,weather,"Will the minimum temperature be <73° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
63,KXLOWTCHI-26JUL01-T80,KXLOWTCHI,weather,"Will the minimum temperature be >80° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
64,KXLOWTDAL-26JUL01-B73.5,KXLOWTDAL,weather,"Will the minimum temperature be 73-74° on Jul 1, 2026?",0.8564,0.0,0.04,0.04,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
65,KXLOWTDAL-26JUL01-B75.5,KXLOWTDAL,weather,"Will the minimum temperature be 75-76° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
66,KXLOWTDAL-26JUL01-B77.5,KXLOWTDAL,weather,"Will the minimum temperature be 77-78° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
67,KXLOWTDAL-26JUL01-B79.5,KXLOWTDAL,weather,"Will the minimum temperature be 79-80° on Jul 1, 2026?",0.8564,0.99,1.0,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
68,KXLOWTDAL-26JUL01-T73,KXLOWTDAL,weather,"Will the minimum temperature be <73° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
69,KXLOWTDAL-26JUL01-T80,KXLOWTDAL,weather,"Will the minimum temperature be >80° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
70,KXLOWTHOU-26JUL01-B73.5,KXLOWTHOU,weather,"Will the minimum temperature be 73-74° on Jul 1, 2026?",0.8564,0.0,0.04,0.04,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
71,KXLOWTHOU-26JUL01-B77.5,KXLOWTHOU,weather,"Will the minimum temperature be 77-78° on Jul 1, 2026?",0.8564,0.0,0.04,0.04,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
72,KXLOWTHOU-26JUL01-B79.5,KXLOWTHOU,weather,"Will the minimum temperature be 79-80° on Jul 1, 2026?",0.8564,0.98,0.99,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
73,KXLOWTHOU-26JUL01-T73,KXLOWTHOU,weather,"Will the minimum temperature be <73° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
74,KXLOWTHOU-26JUL01-T80,KXLOWTHOU,weather,"Will the minimum temperature be >80° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
75,KXLOWTMIN-26JUL01-B66.5,KXLOWTMIN,weather,"Will the minimum temperature be 66-67° on Jul 1, 2026?",0.8564,0.0,0.03,0.03,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
76,KXLOWTMIN-26JUL01-B68.5,KXLOWTMIN,weather,"Will the minimum temperature be 68-69° on Jul 1, 2026?",0.8564,0.99,1.0,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
77,KXLOWTMIN-26JUL01-B70.5,KXLOWTMIN,weather,"Will the minimum temperature be 70-71° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
78,KXLOWTMIN-26JUL01-B72.5,KXLOWTMIN,weather,"Will the minimum temperature be 72-73° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
79,KXLOWTMIN-26JUL01-T66,KXLOWTMIN,weather,"Will the minimum temperature be <66° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
80,KXLOWTMIN-26JUL01-T73,KXLOWTMIN,weather,"Will the minimum temperature be >73° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
81,KXLOWTNOLA-26JUL01-B74.5,KXLOWTNOLA,weather,"Will the minimum temperature be 74-75° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
82,KXLOWTNOLA-26JUL01-B76.5,KXLOWTNOLA,weather,"Will the minimum temperature be 76-77° on Jul 1, 2026?",0.8564,0.0,0.04,0.04,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
83,KXLOWTNOLA-26JUL01-B78.5,KXLOWTNOLA,weather,"Will the minimum temperature be 78-79° on Jul 1, 2026?",0.8564,0.98,1.0,0.02,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
84,KXLOWTNOLA-26JUL01-B80.5,KXLOWTNOLA,weather,"Will the minimum temperature be 80-81° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
85,KXLOWTNOLA-26JUL01-T74,KXLOWTNOLA,weather,"Will the minimum temperature be <74° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
86,KXLOWTNOLA-26JUL01-T81,KXLOWTNOLA,weather,"Will the minimum temperature be >81° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
87,KXLOWTOKC-26JUL01-B70.5,KXLOWTOKC,weather,"Will the minimum temperature be 70-71° on Jul 1, 2026?",0.8564,0.0,0.02,0.02,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
88,KXLOWTOKC-26JUL01-B72.5,KXLOWTOKC,weather,"Will the minimum temperature be 72-73° on Jul 1, 2026?",0.8564,0.01,0.05,0.04,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
89,KXLOWTOKC-26JUL01-B74.5,KXLOWTOKC,weather,"Will the minimum temperature be 74-75° on Jul 1, 2026?",0.8564,0.99,1.0,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
90,KXLOWTOKC-26JUL01-B76.5,KXLOWTOKC,weather,"Will the minimum temperature be 76-77° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
91,KXLOWTOKC-26JUL01-T70,KXLOWTOKC,weather,"Will the minimum temperature be <70° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
92,KXLOWTOKC-26JUL01-T77,KXLOWTOKC,weather,"Will the minimum temperature be >77° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
93,KXLOWTSATX-26JUL01-B70.5,KXLOWTSATX,weather,"Will the minimum temperature be 70-71° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
94,KXLOWTSATX-26JUL01-B74.5,KXLOWTSATX,weather,"Will the minimum temperature be 74-75° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
95,KXLOWTSATX-26JUL01-B76.5,KXLOWTSATX,weather,"Will the minimum temperature be 76-77° on Jul 1, 2026?",0.8564,0.98,1.0,0.02,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
96,KXLOWTSATX-26JUL01-T70,KXLOWTSATX,weather,"Will the minimum temperature be <70° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
